  Time                 , I(L1)                , V(Q1:SOURCE,Q3:SOURCE), V(RL:2,0)            
  0.000000000000e+000  ,-1.776356839400e-015  ,-1.776356839400e-014  ,2.499792117400e+001  
  1.000000000000e-009  ,-3.496857282244e-011  ,-1.608473057036e-003  ,2.499915877037e+001  
  1.059267040342e-009  ,-3.715858638626e-011  ,-1.704883733183e-003  ,2.499923319832e+001  
  1.177801121026e-009  ,-4.180643148953e-011  ,-1.902533301248e-003  ,2.499938627237e+001  
  1.414869282395e-009  ,-5.271506179311e-011  ,-2.330824105464e-003  ,2.499971810522e+001  
  1.889005605131e-009  ,-8.198855818621e-011  ,-3.322333941661e-003  ,2.500048829396e+001  
  2.837278250605e-009  ,-1.774563416702e-010  ,-5.825073271232e-003  ,2.500244180481e+001  
  4.733823541552e-009  ,-5.611488086638e-010  ,-1.278757148947e-002  ,2.500792603258e+001  
  8.297063712031e-009  ,-2.294925737385e-009  ,-3.197719089912e-002  ,2.502332516881e+001  
  1.354078233615e-008  ,-8.193030455026e-009  ,-7.150400877437e-002  ,2.505609682383e+001  
  2.261409938708e-008  ,-3.086843281658e-008  ,-1.584164556552e-001  ,2.513285742575e+001  
  3.261724889651e-008  ,-7.281310849763e-008  ,-2.273543063156e-001  ,2.520324379937e+001  
  3.946209729090e-008  ,-7.815093169339e-008  ,2.791644917742e-002  ,2.499676598744e+001  
  4.025511846319e-008  ,-7.691737063475e-008  ,8.270683668893e-002  ,2.495340944804e+001  
  4.184116080776e-008  ,-7.148927932833e-008  ,2.321533417605e-001  ,2.483845345891e+001  
  4.430767551437e-008  ,-4.660821540575e-008  ,6.506301866133e-001  ,2.454665423287e+001  
  4.675109342113e-008  ,1.052250858373e-008  ,1.379870433120e+000  ,2.410647777482e+001  
  5.042683735862e-008  ,1.979494567476e-007  ,3.311231210460e+000  ,2.305521866794e+001  
  5.568545714393e-008  ,8.822776894218e-007  ,8.661162334318e+000  ,2.028797883371e+001  
  6.267186656967e-008  ,3.160618914638e-006  ,2.134104894344e+001  ,1.389877852593e+001  
  6.399844244495e-008  ,3.826780953195e-006  ,2.439206887164e+001  ,1.236613567839e+001  
  6.433008641377e-008  ,4.005821962321e-006  ,2.518033717569e+001  ,1.197029675088e+001  
  6.499337435141e-008  ,4.380654577020e-006  ,2.676970150338e+001  ,1.117232518916e+001  
  6.631995022669e-008  ,5.198007821217e-006  ,2.990714553618e+001  ,9.597632358714e+000  
  6.867135346308e-008  ,6.819931161854e-006  ,3.389480448240e+001  ,7.596769970389e+000  
  7.105628431216e-008  ,8.626952297801e-006  ,3.642660539558e+001  ,6.326016223629e+000  
  7.351646602526e-008  ,1.061391660506e-005  ,3.787737114667e+001  ,5.597081751923e+000  
  7.647360146418e-008  ,1.308343903376e-005  ,3.895269262586e+001  ,5.055945970090e+000  
  7.931301772967e-008  ,1.551208723590e-005  ,3.973834385494e+001  ,4.660130768157e+000  
  8.499185026065e-008  ,2.051060200829e-005  ,4.124059175434e+001  ,3.903495624294e+000  
  9.055966914073e-008  ,2.559594577845e-005  ,4.278777150356e+001  ,3.124916781036e+000  
  9.769509017840e-008  ,3.239363875892e-005  ,4.485845375249e+001  ,2.083715780451e+000  
  1.000000800000e-007  ,3.465735862114e-005  ,4.550730683385e+001  ,1.757536948547e+000  
  1.007215942250e-007  ,3.537432343204e-005  ,4.571037747430e+001  ,1.655463596916e+000  
  1.021645854221e-007  ,3.681446628567e-005  ,4.610888851538e+001  ,1.455156512114e+000  
  1.050505678163e-007  ,3.972982063369e-005  ,4.682835580748e+001  ,1.093438113807e+000  
  1.108225326048e-007  ,4.566818880962e-005  ,4.782499139447e+001  ,5.916536637979e-001  
  1.167278627859e-007  ,5.182819354889e-005  ,4.831700584303e+001  ,3.426736198666e-001  
  1.227576176630e-007  ,5.816524296727e-005  ,4.852712269710e+001  ,2.349741145905e-001  
  1.297112445341e-007  ,6.550185719425e-005  ,4.863570742645e+001  ,1.779788372993e-001  
  1.370016376482e-007  ,7.321090329402e-005  ,4.869772165218e+001  ,1.444491943804e-001  
  1.472223441110e-007  ,8.403361463915e-005  ,4.875004003929e+001  ,1.151930697851e-001  
  1.623887459741e-007  ,1.001100005084e-004  ,4.879141536007e+001  ,9.067349046526e-002  
  1.768711845384e-007  ,1.154719507489e-004  ,4.881133626148e+001  ,7.772892488099e-002  
  1.884449164377e-007  ,1.277529521070e-004  ,4.882035954200e+001  ,7.122705766867e-002  
  1.980889479624e-007  ,1.379881297636e-004  ,4.882520181066e+001  ,6.738178409341e-002  
  2.073246876703e-007  ,1.477909281801e-004  ,4.882838423279e+001  ,6.460708297683e-002  
  2.179715673433e-007  ,1.590922135587e-004  ,4.883091057575e+001  ,6.218237610856e-002  
  2.278465668665e-007  ,1.695746319875e-004  ,4.883255387325e+001  ,6.047154098959e-002  
  2.378035227762e-007  ,1.801443587495e-004  ,4.883381390972e+001  ,5.912880616532e-002  
  2.483609954820e-007  ,1.913518197070e-004  ,4.883494613640e+001  ,5.801702818111e-002  
  2.581629793154e-007  ,2.017574922059e-004  ,4.883597026880e+001  ,5.720443117816e-002  
  2.716276685701e-007  ,2.160517992665e-004  ,4.883756179421e+001  ,5.635258478525e-002  
  2.892259399401e-007  ,2.347351689917e-004  ,4.884050984368e+001  ,5.555505778739e-002  
  3.168318311678e-007  ,2.640464260261e-004  ,4.884881511392e+001  ,5.477496145844e-002  
  3.720436136232e-007  ,3.227066863028e-004  ,4.889795637035e+001  ,5.408324063325e-002  
